country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","10-10-2025 22:00:00",28.6811736,77.3025234,NH3,4,4,4
India,Delhi,Delhi,"Bawana, Delhi - DPCC","10-10-2025 22:00:00",28.776200,77.051074,NO2,4,55,20
India,Delhi,Delhi,"Bawana, Delhi - DPCC","10-10-2025 22:00:00",28.776200,77.051074,SO2,6,12,9
India,Delhi,Delhi,"Bawana, Delhi - DPCC","10-10-2025 22:00:00",28.776200,77.051074,CO,39,78,58
India,Delhi,Delhi,"DTU, Delhi - CPCB","10-10-2025 22:00:00",28.7500499,77.1112615,PM2.5,58,103,78
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","10-10-2025 22:00:00",28.570173,76.933762,SO2,4,9,6
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","10-10-2025 22:00:00",28.570173,76.933762,CO,12,30,19
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","10-10-2025 22:00:00",28.570173,76.933762,OZONE,5,66,32
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","10-10-2025 22:00:00",28.567890,77.250515,PM10,119,212,157
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","10-10-2025 22:00:00",28.695381,77.181665,SO2,8,22,15
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","10-10-2025 22:00:00",28.4706914,77.1099364,PM10,113,195,152
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","10-10-2025 22:00:00",28.4706914,77.1099364,CO,38,56,44
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","10-10-2025 22:00:00",28.498571,77.264840,CO,11,76,38
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","10-10-2025 22:00:00",28.5710274,77.0719006,PM10,135,362,199
India,Delhi,Delhi,"ITO, Delhi - CPCB","10-10-2025 22:00:00",28.628624,77.241060,OZONE,1,48,13
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","10-10-2025 22:00:00",28.732820,77.170633,PM10,137,412,195
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","10-10-2025 22:00:00",28.636429,77.201067,SO2,14,16,15
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","10-10-2025 22:00:00",28.60909,77.0325413,PM2.5,27,62,41
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","10-10-2025 22:00:00",28.695381,77.181665,PM2.5,83,207,123
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","10-10-2025 22:00:00",28.695381,77.181665,NO2,13,88,35
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","10-10-2025 22:00:00",28.623763,77.287209,PM10,147,244,182
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","10-10-2025 22:00:00",28.623763,77.287209,SO2,4,10,6
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","10-10-2025 22:00:00",28.623763,77.287209,OZONE,6,300,164
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","10-10-2025 22:00:00",28.674045,77.131023,PM2.5,60,280,129
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","10-10-2025 22:00:00",28.674045,77.131023,NO2,21,68,35
India,Delhi,Delhi,"Pusa, Delhi - DPCC","10-10-2025 22:00:00",28.639652,77.146275,PM2.5,87,230,129
India,Delhi,Delhi,"Pusa, Delhi - DPCC","10-10-2025 22:00:00",28.639652,77.146275,NH3,6,31,19
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","10-10-2025 22:00:00",28.563262,77.186937,PM2.5,112,362,159
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","10-10-2025 22:00:00",28.563262,77.186937,NH3,2,4,3
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","10-10-2025 22:00:00",28.563262,77.186937,SO2,13,53,22
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","10-10-2025 22:00:00",28.563262,77.186937,CO,42,118,91
India,Delhi,Delhi,"Rohini, Delhi - DPCC","10-10-2025 22:00:00",28.732528,77.119920,NH3,8,9,8
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","10-10-2025 22:00:00",28.5504249,77.2159377,PM2.5,45,216,74
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","10-10-2025 22:00:00",28.5504249,77.2159377,NO2,26,95,74
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","10-10-2025 22:00:00",28.5504249,77.2159377,CO,10,88,29
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","10-10-2025 22:00:00",28.5504249,77.2159377,OZONE,18,27,22
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","10-10-2025 22:00:00",23.107969,72.574648,NH3,5,25,13
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","10-10-2025 22:00:00",23.107969,72.574648,SO2,8,17,14
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","10-10-2025 22:00:00",22.977134,72.553024,SO2,2,50,21
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","10-10-2025 22:00:00",28.699793,77.165453,PM2.5,80,195,116
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","10-10-2025 22:00:00",28.699793,77.165453,CO,28,76,49
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","10-10-2025 22:00:00",28.699793,77.165453,OZONE,8,110,68
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","10-10-2025 22:00:00",28.710508,77.249485,CO,42,102,59
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","10-10-2025 22:00:00",28.531346,77.190156,NO2,19,43,26
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","10-10-2025 22:00:00",28.567890,77.250515,CO,24,102,50
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","10-10-2025 22:00:00",28.567890,77.250515,OZONE,3,223,122
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","10-10-2025 22:00:00",28.710508,77.249485,NO2,16,50,30
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","10-10-2025 22:00:00",28.710508,77.249485,SO2,7,17,10
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","10-10-2025 22:00:00",23.020509,72.579261,PM2.5,99,271,166
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","10-10-2025 22:00:00",23.076793,72.627874,NH3,1,3,2
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","10-10-2025 22:00:00",21.613267,73.010555,PM2.5,NA,NA,NA
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","10-10-2025 22:00:00",21.613267,73.010555,NO2,22,23,23
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","10-10-2025 22:00:00",21.613267,73.010555,SO2,53,55,54
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","10-10-2025 22:00:00",21.613267,73.010555,CO,34,94,47
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","10-10-2025 22:00:00",23.163798,72.677768,PM10,147,200,166
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","10-10-2025 22:00:00",23.163798,72.677768,NO2,6,82,32
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","10-10-2025 22:00:00",23.163798,72.677768,SO2,1,16,7
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","10-10-2025 22:00:00",23.243639,72.68994,PM10,163,180,171
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","10-10-2025 22:00:00",22.969611,72.643500,SO2,9,64,41
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","10-10-2025 22:00:00",22.969611,72.643500,CO,12,48,24
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","10-10-2025 22:00:00",28.6701,76.9254,CO,24,54,48
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","10-10-2025 22:00:00",28.3419248,77.319699,PM2.5,61,300,182
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","10-10-2025 22:00:00",28.593883,76.270653,PM10,6,169,87
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","10-10-2025 22:00:00",28.593883,76.270653,NH3,5,8,6
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","10-10-2025 22:00:00",28.376058,77.315741,PM10,116,124,119
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","10-10-2025 22:00:00",28.376058,77.315741,CO,33,52,49
